KEY;PARENT_KEY;Item;Transportation Order Item Type;Multi-Item;TO Item Key;Error on Node Instance;TO Stop Key;TO Stop Key;Sorting ID of Business Document Item;Item Description;Item Category;Main Cargo Item;Address ID;Shipper;Shipper BP GUID;Address ID;Ship-to Party;Ship-to Party BuPA GUID;Gross Weight;Gross Weight UoM;Gross Volume;Gross Volume UoM;Net Weight;Net Weight UoM;Quantity;Quantity UoM;Alternative Quantity;Alternative Quantity UoM;Base Quantity;Base Unit of Measure;Tare Weight;Tare Weight UoM;Number of TEUs;Number of TEU UoM;ADR 1.1.3.6 DG Exemption Points;ADR 1.1.3.6 DG Exemption Points UoM;Recorded Quantities;Confirmed Gross Weight;Confirmed Gross Weight UoM;Confirmed Gross Volume;Confirmed Gross Volume UoM;Confirmed Quantity;Confirmed Quantity UoM;Confirmed Alternative Quantity;Confirmed Alternative Quantity UoM;Confirmed Number of TEU;Confirmed Number of TEU UoM;Length;Width;Height;Unit of Measure;Overdimensional Cargo;Goods Value;Goods Value Currency;Insurable Value;Insurable Value Currency;Goods Value for Customs;Goods Value for Customs Currency;High-Value Cargo;Dangerous Goods;Dangerous Goods Check Error;Doc.-Based DG Data;No ADR Exemption;Package ID;Packaging Mat. Type;Non-Stackable Packages;Packaging Code;External Package ID;Origin of Package ID;Packaging Material Category;Product;Product GUID;Material Freight Grp;Transportation Group;DG indicator profile;Service Type;Freight Agreement Key;Freight Agreement Item Key;Freight Agreement Services Key;Service Level (Sales);Business Transaction Priority Code;Transportation Mode;Transportation Mode Category;Plant;Company Organization;Company Code;Loading/Unloading Point;Storage Location;Goods Movement Status;Goods Movement Processing;Handling Unit Key (Handle);Shipper's Load and Count;Min. Temperature;Max. Temperature;Temperature UoM;Air Humidity in %;Leading Item Key;Damaged Item;Relevant for cost distribution;Warehouse Processing Status;Dangerous Goods Status;Indicator of Legal Control License;GUID 16;Value Chain Category;Unified Package Building Profile;Unified Package Building Engine;Unified Package Building Rule;Load Consumption Quantity;Load Consumption Quantity UoM;Normalized Quantity;Normalized Quantity UoM;Source Location;Location;IATA Code (Source Location);UN/LOCODE (Source Location);Pick-Up (From);Pick-Up (To);Earliest Pick-Up;Latest Pick-Up;Destination Location;Location;IATA Code (Destination Loc.);UN/LOCODE (Destination Location);Unloading Point;Delivery (From);Delivery (To);Earliest Delivery;Latest Delivery;Pick-Up/Delivery Window Specification;Cost Pull;Handling Execution Status on Item Level;Cargo Execution Status on Item Level;Cargo Receipt Status;Transm.-to-EWM Status on Item Level;Transm.-to-EWM Status on Item Level;Load Plan Status on Item Level;Unload Plan Status on Item Level;Load Plan Item Status on Item Level;Unload Plan Item Status on Item Level;Origin of Entry;Origin of Entry;Doc. Itm Comparison Status;Occurrence of Quantity Discrepancy;Discrepancy;No Block;Incoterm;Incoterm Location (Free Text);Incoterm Location;Incoterm Location;Incoterm Key;NodeID;NodeID;BO Short Name;Item Is Local;TO Stop Key;TO Stop Key;NodeID;NodeID;BO Short Name;NodeID;Transportation Order Key;Capacity Item Definition for Ref. Item;Deviating Commodity Codes;Document;Item;NoG Defined Locally;NodeID;Category;Item Category;NodeID;NodeID;Qty of Sales Unit;UoM of Sales Unit;Freight Unit Quantity Fixed;Original Sales Quantity;UoM of Original Sales Qty;Integration Based on Actual Quantity;Original Business Document Type;Base Business Transaction Document;Base Document Version;Base Business Transaction Document Key;Logical System (Sending System);Base Business Transaction Doc. Item Key;Base Doc. Item Type for Bus. Transaction;Base Doc. Item for Business Transaction;Base Document Date;Bus. Trans. Document Processing Type;Base Doc. Item for Business Transaction;Base Doc. Item Type for Bus. Transaction;Hier. Rel.shp Type Code;Country/Region;Region Code;Sales Organization;Sales Office;Sales Group;Buyer Origin Doc. f. Business Transac.;Ordering Date;Buyer Doc. Item f. Business Transac.;Origin Business Transaction Document TCO;Origin Business Transaction Document;Origin Business Trans. Doc. Item TCO;Origin Business Transaction Doc. Item;House Bill of Lading;Waybill Number Status;Reference to Shipment Item;Tracking Number;Execution Tracking Relevance;Registration No.;Relevant for Resource Time Check;Multiresource;Ctry/Reg-Specific Vehicle Identification;Means of Transport;Country/Region Key;Length;Unit of Measure;Tare Weight;Tare Weight UoM;Max. Payload Weight;Payload Weight UoM;Max. Payload Volume;Payload Volume UoM;Schedule GUID (029) with Conversion Exit;Date/Time;Voyage;Airline Code/Flight Number;Vessel;IMO Ship Identification Number;Booking Confirmation Status;Flight Number;Gross Weight;Gross Weight UoM;Gross Volume;Gross Volume UoM;Net Weight;Net Weight UoM;Quantity;Quantity UoM;Alternative Quantity;Alternative Quantity UoM;Base Quantity;Base Unit of Measure;Tare Weight;Tare Weight UoM;Number of TEUs;Number of TEU UoM;ADR 1.1.3.6 DG Exemption Points;ADR 1.1.3.6 DG Exemption Points UoM;Length;Width;Height;Unit of Measure;Normalized Quantity;Normalized Quantity UoM;Equipment Type;Equipment Group;Shipper-Owned Container;Empty Provisioning;Empty Return;Organized by Sold-to Party;Ventilation Setting;Air Exchange Rate;Air Exchange UoM;Consolidation Container;Reference to Booking Capacity Req Item;Sequence Number;Compartment Type;Rate Class;ULD Rate Type;ULD Loading Instructions;Pivot Weight;Pivot Weight UoM;Resource Class;Owning Org. Unit;Transportation Planning Date;Transportation Planning Date;Transportation Planning Date;Transportation Planning Date;UUID Internal;ERP Delivery;ERP Delivery Item;Included Packages;Item Split;Mixed ULD;Update Propagation Control;Service Product;Dummy function in length 1;Bearbeitung am Stopp;Klarname der Unterschrift;unloading point id;19 Characters;NodeID;Product;Item Description;TO Stop Key;LHM kostenpflichtig;Stackability;Lagerplatz;Shipping Type;Pin-Nr.;Turn-In Referenz;Location;Location Description;Street;House Number;City;Postal Code;Country/Region;Street+No.;Density Factor;Package Slot ID;Orientation;Position X;Position Y;Position Z;Row;Stack;Level;Split Deck;Loading Sequence;Logical System (EWM Target System);Warehouse Number;Warehouse Category;Warehouse Door;Logical System (EWM Target System);Warehouse Number;Warehouse Category;Warehouse Door;Loading/Unloading Point;UUID Internal;Resource;Resource Sequence Number;TRUE;Origin of Resource;Maximum Top Load;Maximum Top Load Unit of Measure;Fixing Status of Requirement Assignment;Tare Volume;Tare Volume UoM;Outer Volume;Outer Volume UoM;Closed Packaging Material;Data Aging Filter,
005056AB7BFC1FD0B08E9DB3D20F1A15;005056AB7BFC1FD0B08E9D222C2BBA15;30;;;005056AB7BFC1FD0B08E9D222C2BDA15;;005056AB7BFC1FD0B08E9D222C2BFA15;005056AB7BFC1FD0B08E9D222C2C1A15;3;;PRD;X;;;;;;;7;KG;0.5;M3;0;;1;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;627;627;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD72FA14;005056AB7BFC1FD0AFF7CF88AD729A14;TOR;R;005056AB7BFC1FD0AFF7CF88AE83BA14;005056AB7BFC1FD0AFF7CF88AE83DA14;005056AB7BFC1FD0AFCFB1A170C05A14;005056AB7BFC1FD0AFCFB1A170137A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD729A14;;;1100001022;20;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20F3A15;005056AB7BFC1FD0B08E9D222C2EDA15;90;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C313A15;9;;PRD;X;;;;;;;41;KG;1;M3;0;;5;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;531;531;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD433A14;005056AB7BFC1FD0AFF7CF88AD431A14;TOR;R;005056AB7BFC1FD0AFF7CF88AE543A14;005056AB7BFC1FD0AFF7CF88AE545A14;005056AB7BFC1FD0AFCFB1A170E41A14;005056AB7BFC1FD0AFCFB1A1701F5A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD431A14;;;1100001049;10;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20F5A15;005056AB7BFC1FD0B08E9D222C2EDA15;110;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C313A15;11;;PRD;X;;;;;;;12;KG;1;M3;0;;3;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;531;531;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD435A14;005056AB7BFC1FD0AFF7CF88AD431A14;TOR;R;005056AB7BFC1FD0AFF7CF88AE543A14;005056AB7BFC1FD0AFF7CF88AE545A14;005056AB7BFC1FD0AFCFB1A170E3DA14;005056AB7BFC1FD0AFCFB1A1701F5A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD431A14;;;1100001049;30;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20F7A15;005056AB7BFC1FD0B08E9D222C2EDA15;100;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C313A15;10;;PRD;X;;;;;;;8;KG;0.8;M3;0;;2;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;531;531;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD437A14;005056AB7BFC1FD0AFF7CF88AD431A14;TOR;R;005056AB7BFC1FD0AFF7CF88AE543A14;005056AB7BFC1FD0AFF7CF88AE545A14;005056AB7BFC1FD0AFCFB1A170E3FA14;005056AB7BFC1FD0AFCFB1A1701F5A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD431A14;;;1100001049;20;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20F9A15;005056AB7BFC1FD0B08E9D222C2EDA15;120;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C313A15;12;;PRD;X;;;;;;;5;KG;0.5;M3;0;;7;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;531;531;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD439A14;005056AB7BFC1FD0AFF7CF88AD431A14;TOR;R;005056AB7BFC1FD0AFF7CF88AE543A14;005056AB7BFC1FD0AFF7CF88AE545A14;005056AB7BFC1FD0AFCFB1A170E3BA14;005056AB7BFC1FD0AFCFB1A1701F5A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD431A14;;;1100001049;40;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20FBA15;005056AB7BFC1FD0B08E9D222C2EDA15;80;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C2FBA15;8;;PRD;X;;;;;;;9;KG;0.6;M3;0;;6;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;600;600;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD673A14;005056AB7BFC1FD0AFF7CF88AD671A14;TOR;R;005056AB7BFC1FD0AFF7CF88AE76BA14;005056AB7BFC1FD0AFF7CF88AE76DA14;005056AB7BFC1FD0AFCFB1A170C8BA14;005056AB7BFC1FD0AFCFB1A17016BA14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88AD671A14;;;1100000980;10;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20FDA15;005056AB7BFC1FD0B08E9D222C2EDA15;10;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C303A15;1;;PRD;X;;;;;;;3;KG;0.3;M3;0;;3;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;793;793;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADC63A14;005056AB7BFC1FD0AFF7CF88ADC61A14;TOR;R;005056AB7BFC1FD0AFF7CF88AED6BA14;005056AB7BFC1FD0AFF7CF88AED6DA14;005056AB7BFC1FD0AFCFB1A17081BA14;005056AB7BFC1FD0AFCFB1A16FFEBA14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADC61A14;;;1100000788;10;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D20FFA15;005056AB7BFC1FD0B08E9D222C2EDA15;40;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C2F3A15;4;;PRD;X;;;;;;;32;KG;0.7;M3;0;;2;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;814;814;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADD03A14;005056AB7BFC1FD0AFF7CF88ADD01A14;TOR;R;005056AB7BFC1FD0AFF7CF88AEE13A14;005056AB7BFC1FD0AFF7CF88AEE15A14;005056AB7BFC1FD0AFCFB1A1707A1A14;005056AB7BFC1FD0AFCFB1A16FFC1A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADD01A14;;;1100000835;30;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D2101A15;005056AB7BFC1FD0B08E9D222C2EDA15;30;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C2F3A15;3;;PRD;X;;;;;;;32;KG;0.6;M3;0;;3;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;814;814;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADD05A14;005056AB7BFC1FD0AFF7CF88ADD01A14;TOR;R;005056AB7BFC1FD0AFF7CF88AEE13A14;005056AB7BFC1FD0AFF7CF88AEE15A14;005056AB7BFC1FD0AFCFB1A1707A3A14;005056AB7BFC1FD0AFCFB1A16FFC1A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADD01A14;;;1100000835;20;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9DB3D2103A15;005056AB7BFC1FD0B08E9D222C2EDA15;20;;;005056AB7BFC1FD0B08E9D222C2EFA15;;005056AB7BFC1FD0B08E9D222C2F1A15;005056AB7BFC1FD0B08E9D222C2F3A15;2;;PRD;X;;;;;;;7;KG;1;M3;0;;3;PC;0;;0;;0;;0;;0;;;0;;0;;0;;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;HANDELSWARE;005056AB7BFC1EDC86C1C0C21B6E39CB;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;SP_HBAB;SP_HBAB;;;2,02511E+13;0;0;0;814;814;;;;0;2,02511E+13;0;0;;;10;;;;;05;05;00;00;;;;;;;;;;;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADD07A14;005056AB7BFC1FD0AFF7CF88ADD01A14;TOR;R;005056AB7BFC1FD0AFF7CF88AEE13A14;005056AB7BFC1FD0AFF7CF88AEE15A14;005056AB7BFC1FD0AFCFB1A1707A5A14;005056AB7BFC1FD0AFCFB1A16FFC1A14;TRQ;00000000000000000000000000000000;005056AB7BFC1FD0AFF7CF88ADD01A14;;;1100000835;10;;00000000000000000000000000000000;03;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;40000051;0;0;;;;;;;;;;00000000000000000000000000000000;;;;;;;;;0;;0;;0;;0;;00000000000000000000000000000000;0;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;;;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;0;0;2,02511E+13;2,02511E+13;2,02511E+13;2,02511E+13;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;00000000000000000000000000000000;;0;;;0;;;0;;0;;;,
